nbrhd,One_Person_Households,Adults_Non_English_Speaking,Births_to_Teen_Mothers_19_and_under,Births_to_Unwed_Mothers,Births_to_Women_With_Less_Than_12th_Grade_Education,Children_Living_with_Single_Parents,Families_with_Children,Families_without_Children,Foreign_Born,Households,Households_with_Income_more_than_USD_125000,Households_with_Income_less_than_USD_60000,Households_with_Income_USD_60000_to_USD_124999,Housing_Units,Housing_Vacancy,Multi_Family_Units,Overcrowded_housing_units,Persons_Age_25_with_College_Degree_Associates_or_Better,Persons_age_25_with_high_school_only_education,Persons_age_25_with_less_than_12th_grade_education,Persons_age_25_with_some_college_but_no_degree,Persons_in_Poverty,Persons_per_Household,Population_18_24,Population_25_34,Population_35_44,Population_45_54,Population_5_17,Population_55_64,Population_African_American,Population_Asian_per_Pacific_Islander,Population_Latino,Population_Native_American,Population_Non_Latino,Population_Non_Latino_White,Population_Other_Race_Single_Race_Selected,Population_White,Population_of_2_or_More_Races,Population_over_65,Population_under_5,Renters_Spending_More_Than_30Percent_of_Income_on_Housing,Single_Family_Units,Single_Mothers_with_Children_in_Poverty,Total_Population,Unemployed_in_Civilian_Labor_Force,Births_African_American,Births_Asian_per_Pacific_Islander,Births_Latino,Births_Native_American,Births_Non_Latino_White,Births_Other_Race,Crime Incidents
alder-three-sisters-park,374,9,0,0,0,106,444,612,153,1601,491,511,599,1666,65,34,8,1897,405,55,499,296,2.45,263,374,478,756,726,780,11,55,125,0,3802,3681,8,3794,59,468,82,118,1632,21,3927,99,0,0,0,0,27,0,
allendale,964,247,3,11,3,444,970,1040,587,3237,370,1741,1126,3269,32,1338,14,2099,1732,310,1579,821,2.44,638,1624,1009,971,1018,892,276,30,1228,27,6723,6302,100,7291,227,1224,575,904,1931,49,7951,397,0,3,9,0,63,0,
alta-vista-and-memorial-park,924,41,5,14,4,476,785,819,219,2812,351,1449,1012,2876,64,688,0,2043,1159,418,1318,553,2.38,413,1416,826,755,919,945,130,70,853,74,5850,5503,48,6292,89,996,433,445,2179,46,6703,209,3,4,17,0,64,0,
apel-bacher-park-koch-sub-and-coulehan-grange,416,72,0,8,3,130,260,289,189,1019,99,638,282,1101,82,255,11,616,423,235,370,200,2.23,161,506,239,276,289,248,0,21,782,0,1495,1466,26,2097,133,375,183,215,846,21,2277,73,0,0,7,0,22,0,
applewood-echo-hill-rolling-hills-and-meadows,356,8,0,0,0,66,350,715,97,1520,580,453,487,1520,0,50,8,1830,405,89,602,162,2.53,144,493,327,647,560,548,27,77,122,0,3740,3572,57,3637,64,911,232,73,1461,0,3862,88,0,0,4,0,26,0,
arvada-center,471,43,0,8,0,129,374,462,263,1422,148,725,549,1468,46,623,0,801,865,160,659,410,2.35,279,480,365,427,458,400,27,23,573,10,2877,2791,26,3328,36,813,228,163,845,76,3450,178,0,0,6,0,22,0,
athmar-park,764,1116,12,41,29,945,1122,878,2598,3050,246,1873,931,3095,45,407,250,1192,1954,1907,1045,1704,3.01,683,1684,1365,1179,1805,924,104,438,6418,94,2775,2043,771,7480,306,946,607,589,2615,117,9193,220,4,6,106,0,51,8,7600
auraria,15,0,0,0,0,0,0,16,85,43,8,15,20,65,22,38,0,44,16,0,41,8,1.63,711,34,28,4,0,31,21,89,169,0,643,503,10,651,41,4,0,0,27,0,812,46,0,0,0,0,0,0,4832
aurora-highlands-and-side-creek,923,751,9,36,12,1058,1817,1495,2216,4560,530,1920,2110,4878,318,515,101,3330,2363,774,2437,911,2.88,1118,2087,1801,2025,2243,1713,2368,693,3143,35,9975,6595,812,8534,676,1278,853,571,4363,94,13118,584,41,15,49,4,87,13,
baker,1184,333,0,13,8,122,442,545,642,2732,394,1451,887,2950,218,1498,75,2440,799,696,561,1165,2.13,554,1825,950,641,481,616,119,107,1910,49,3961,3470,265,4993,338,464,340,630,1452,19,5871,169,4,0,19,3,48,0,14128
barnum,392,913,14,25,17,896,962,454,1788,1925,69,1381,475,2009,84,177,176,411,1098,1497,713,2014,3.36,783,862,993,880,1655,495,70,0,4816,73,1643,1540,340,5884,92,489,302,561,1832,155,6459,259,3,0,74,3,29,3,6261
barnum-west,335,629,6,19,13,722,747,527,1922,1763,161,1017,585,1869,106,167,101,760,1030,1386,588,1366,3.46,711,788,867,759,1100,742,168,226,4396,201,1697,1261,296,5107,95,608,518,308,1691,127,6093,134,0,0,50,0,18,0,3328
barr-lake-state-park,805,374,4,35,8,790,2405,2090,1185,5558,1624,1307,2627,5829,271,332,36,4720,2862,521,3093,855,3.05,896,2487,2839,2489,3286,2046,449,396,3345,34,13589,12345,459,15057,539,1335,1556,324,5438,62,16934,295,8,14,94,0,170,4,
bear-valley,1050,223,4,32,11,796,1105,1284,709,3693,510,1818,1365,3897,204,1758,75,2333,1698,675,1485,851,2.43,857,1464,1123,1278,1382,938,451,231,3672,287,5313,4338,383,7460,173,1388,555,727,2133,6,8985,271,4,8,54,0,67,6,3493
belcaro,890,0,0,0,0,35,398,789,424,2251,1247,298,706,2460,209,862,0,2957,204,82,446,112,2.04,127,613,751,588,544,657,77,47,211,0,4386,4262,0,4473,0,1080,237,178,1598,0,4597,44,0,0,3,0,37,0,2562
bell-park,640,24,0,0,0,324,803,1186,271,2767,928,1044,795,3068,301,131,21,3130,578,139,1147,470,2.4,295,699,688,1155,1078,1285,42,60,308,11,6344,6216,40,6438,61,1167,285,303,2937,37,6652,262,0,0,0,0,31,0,
benedict-park-central-brighton,820,647,4,30,25,1116,1636,1235,1515,3884,684,1643,1557,3982,98,638,132,2515,2532,852,1821,798,3.07,986,1415,1672,1660,2458,1248,87,169,3918,52,8196,7715,451,11066,289,1725,950,625,2963,130,12114,207,4,0,68,0,52,5,
berkeley,1649,251,3,24,5,339,875,1219,575,4260,1090,1832,1338,4491,231,747,0,4415,972,624,1079,662,2.04,285,1880,1813,1296,699,1072,65,173,2206,72,6531,6150,644,7604,179,1029,663,470,3732,9,8737,274,0,8,20,0,127,0,5125
berrian-mountain,158,3,0,0,0,61,288,530,67,1009,338,334,337,1084,75,0,8,1245,168,36,455,175,2.58,119,156,357,362,491,528,0,11,87,3,2514,2458,8,2532,47,501,87,31,1080,0,2601,98,0,0,0,0,17,0,
big-dry-creek,1159,96,3,39,6,539,887,1578,559,3999,855,1833,1311,4347,348,2553,111,3564,979,382,1621,889,2.23,785,1966,1004,1224,1191,1327,302,405,1499,0,7414,6505,43,7726,437,1025,391,1084,1794,109,8913,484,9,10,29,0,69,0,
boulder-municipal-airport,168,77,0,3,0,80,263,208,189,665,225,257,183,737,72,0,19,822,433,145,301,249,2.71,273,243,448,396,431,334,20,61,404,14,2085,1913,48,2276,70,280,84,36,521,14,2489,55,0,0,6,0,9,0,
